BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	PCR_plate	PCR_well	Run	SRA_Sample	Sample_Name	host_subject_id	replicate	seq_lab	seq_run	titration	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	isol_growth_condt	lat_lon	strain
SAMN09634768	SRX4371252	E01JH0016_5_2_F9_JHU_2	7/12/18	57	37	2	F9	SRR7501759	SRS3529561	E01JH0016_5_2_F9	E01JH0016	PCR replicate 4	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634767	SRX4371251	E01JH0011_5_2_F8_JHU_2	7/12/18	68	42	2	F8	SRR7501762	SRS3529564	E01JH0011_5_2_F8	E01JH0011	PCR replicate 4	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634764	SRX4371248	E01JH0038_5_2_F5_JHU_2	7/12/18	50	31	2	F5	SRR7501763	SRS3529560	E01JH0038_5_2_F5	E01JH0038	PCR replicate 4	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634763	SRX4371247	E01JH0017_5_2_F4_JHU_2	7/12/18	80	51	2	F4	SRR7501764	SRS3529559	E01JH0017_5_2_F4	E01JH0017	PCR replicate 4	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634765	SRX4371245	E01JH0004_0_2_F6_JHU_2	7/12/18	55	35	2	F6	SRR7501765	SRS3529556	E01JH0004_0_2_F6	E01JH0004	PCR replicate 4	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634760	SRX4371244	E01JH0004_0_2_F12_JHU_2	7/12/18	66	42	2	F12	SRR7501766	SRS3529554	E01JH0004_0_2_F12	E01JH0004	PCR replicate 3	jhu	jhu2	0	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634766	SRX4371246	E01JH0004_5_2_F7_JHU_2	7/12/18	56	35	2	F7	SRR7501767	SRS3529558	E01JH0004_5_2_F7	E01JH0004	PCR replicate 4	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634759	SRX4371243	E01JH0038_5_2_F11_JHU_2	7/12/18	54	34	2	F11	SRR7501768	SRS3529555	E01JH0038_5_2_F11	E01JH0038	PCR replicate 3	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634762	SRX4371242	E01JH0016_5_2_F3_JHU_2	7/12/18	64	41	2	F3	SRR7501769	SRS3529557	E01JH0016_5_2_F3	E01JH0016	PCR replicate 3	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
SAMN09634761	SRX4371241	E01JH0011_5_2_F2_JHU_2	7/12/18	36	22	2	F2	SRR7501772	SRS3529553	E01JH0011_5_2_F2	E01JH0011	PCR replicate 3	jhu	jhu2	5	AMPLICON	PRJNA480312	MIMARKS.specimen	public	sra	ncbi	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	7/20/18	SRP152889	not applicable	human-associated habitat	not applicable	feces	not applicable	Homo sapiens	not applicable	not applicable	not applicable
